                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6622,                0.13333,                      1,                  1.602,              2.142e-05,              2.142e-05,              2.142e-05
                      2,                 1.6263,                0.13333,                      1,                 1.6001,             4.5032e-05,             4.5032e-05,             4.5032e-05
                      3,                 1.5986,                    0.2,                      1,                 1.6008,             6.2989e-05,             6.2989e-05,             6.2989e-05
                      4,                 1.5258,                    0.2,                      1,                 1.6003,             7.5291e-05,             7.5291e-05,             7.5291e-05
                      5,                 1.5247,                    0.2,                      1,                 1.6003,             8.1939e-05,             8.1939e-05,             8.1939e-05
                      6,                 1.4968,                    0.2,                      1,                 1.5993,             8.2931e-05,             8.2931e-05,             8.2931e-05
                      7,                 1.5126,                0.13333,                      1,                 1.6014,             7.8269e-05,             7.8269e-05,             7.8269e-05
                      8,                 1.4544,                0.13333,                      1,                 1.6002,             6.7951e-05,             6.7951e-05,             6.7951e-05
                      9,                 1.4881,                    0.2,                      1,                 1.6001,             5.1979e-05,             5.1979e-05,             5.1979e-05
                     10,                  1.447,                    0.2,                      1,                 1.5992,             3.0352e-05,             3.0352e-05,             3.0352e-05
