                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.685,                0.13333,                      1,                 1.6113,              2.142e-05,              2.142e-05,              2.142e-05
                      2,                 1.6518,                    0.2,                      1,                 1.6091,             4.8331e-05,             4.8331e-05,             4.8331e-05
                      3,                   1.61,                0.13333,                      1,                 1.6056,             7.3356e-05,             7.3356e-05,             7.3356e-05
                      4,                 1.5596,                0.26667,                      1,                 1.6006,             9.6497e-05,             9.6497e-05,             9.6497e-05
                      5,                 1.5012,                0.33333,                      1,                 1.5975,             0.00011775,             0.00011775,             0.00011775
                      6,                 1.5509,                    0.4,                      1,                  1.594,             0.00013712,             0.00013712,             0.00013712
                      7,                 1.4743,                0.53333,                      1,                 1.5901,             0.00015461,             0.00015461,             0.00015461
                      8,                 1.4632,                0.46667,                      1,                 1.5866,             0.00017021,             0.00017021,             0.00017021
                      9,                  1.432,                0.46667,                      1,                 1.5825,             0.00018393,             0.00018393,             0.00018393
                     10,                 1.4529,                0.53333,                      1,                 1.5764,             0.00019576,             0.00019576,             0.00019576
                     11,                 1.3762,                0.53333,                      1,                 1.5681,              0.0002057,              0.0002057,              0.0002057
                     12,                 1.4044,                0.53333,                      1,                 1.5591,             0.00021376,             0.00021376,             0.00021376
                     13,                 1.2941,                0.53333,                      1,                 1.5473,             0.00021994,             0.00021994,             0.00021994
                     14,                 1.2388,                0.46667,                      1,                   1.54,             0.00022423,             0.00022423,             0.00022423
                     15,                 1.2239,                0.53333,                      1,                 1.5292,             0.00022664,             0.00022664,             0.00022664
                     16,                 1.3015,                0.53333,                      1,                 1.5213,             0.00022716,             0.00022716,             0.00022716
                     17,                 1.1805,                0.53333,                      1,                 1.5124,              0.0002258,              0.0002258,              0.0002258
                     18,                 1.2277,                0.46667,                      1,                 1.4979,             0.00022255,             0.00022255,             0.00022255
                     19,                 1.1749,                0.46667,                      1,                 1.4894,             0.00021741,             0.00021741,             0.00021741
                     20,                  1.181,                0.46667,                      1,                 1.4801,             0.00021039,             0.00021039,             0.00021039
                     21,                 1.1304,                0.46667,                      1,                 1.4616,             0.00020149,             0.00020149,             0.00020149
                     22,                 1.1754,                0.46667,                      1,                 1.4614,              0.0001907,              0.0001907,              0.0001907
                     23,                0.97044,                0.53333,                      1,                 1.4516,             0.00017803,             0.00017803,             0.00017803
                     24,                0.94314,                0.53333,                      1,                 1.4387,             0.00016347,             0.00016347,             0.00016347
                     25,                0.92768,                    0.6,                      1,                 1.4292,             0.00014703,             0.00014703,             0.00014703
                     26,                0.96996,                    0.6,                      1,                 1.4287,             0.00012495,             0.00012495,             0.00012495
                     27,                0.89692,                0.66667,                      1,                 1.4385,             0.00010139,             0.00010139,             0.00010139
                     28,                 0.8408,                    0.6,                      1,                  1.435,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                 1.0626,                    0.6,                      1,                  1.433,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.85041,                    0.6,                      1,                 1.4338,             3.0702e-05,             3.0702e-05,             3.0702e-05
