                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5965,                    0.2,                      1,                 1.6069,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 1.5963,                    0.4,                      1,                 1.6058,             2.0713e-05,             2.0713e-05,             2.0713e-05
                      3,                 1.6011,                    0.4,                      1,                 1.6021,             3.3344e-05,             3.3344e-05,             3.3344e-05
                      4,                 1.5366,                    0.4,                      1,                 1.5958,             4.5032e-05,             4.5032e-05,             4.5032e-05
                      5,                 1.5586,                    0.4,                      1,                 1.5876,             5.5778e-05,             5.5778e-05,             5.5778e-05
                      6,                 1.4534,                    0.4,                      1,                  1.581,             6.5581e-05,             6.5581e-05,             6.5581e-05
                      7,                 1.4692,                    0.6,                      1,                 1.5749,             7.4442e-05,             7.4442e-05,             7.4442e-05
                      8,                 1.4257,                    0.6,                      1,                 1.5683,              8.236e-05,              8.236e-05,              8.236e-05
                      9,                 1.3526,                    0.6,                      1,                 1.5647,             8.9336e-05,             8.9336e-05,             8.9336e-05
                     10,                  1.334,                    0.6,                      1,                 1.5599,             9.5369e-05,             9.5369e-05,             9.5369e-05
                     11,                 1.3584,                    0.6,                      1,                 1.5562,             0.00010046,             0.00010046,             0.00010046
                     12,                 1.3206,                    0.4,                      1,                 1.5528,             0.00010461,             0.00010461,             0.00010461
                     13,                 1.2396,                    0.4,                      1,                  1.548,             0.00010781,             0.00010781,             0.00010781
                     14,                 1.1639,                    0.4,                      1,                 1.5442,             0.00011008,             0.00011008,             0.00011008
                     15,                 1.2567,                    0.4,                      1,                 1.5387,              0.0001114,              0.0001114,              0.0001114
                     16,                  1.168,                    0.4,                      1,                 1.5322,             0.00011178,             0.00011178,             0.00011178
                     17,                 1.1488,                    0.4,                      1,                 1.5272,             0.00011121,             0.00011121,             0.00011121
                     18,                 1.2547,                    0.4,                      1,                 1.5205,             0.00010971,             0.00010971,             0.00010971
                     19,                 1.1096,                    0.4,                      1,                 1.5141,             0.00010726,             0.00010726,             0.00010726
                     20,                 1.0689,                    0.4,                      1,                 1.5074,             0.00010387,             0.00010387,             0.00010387
                     21,                 1.1234,                    0.6,                      1,                 1.5002,             9.9532e-05,             9.9532e-05,             9.9532e-05
                     22,                 1.0204,                    0.4,                      1,                 1.4958,             9.4255e-05,             9.4255e-05,             9.4255e-05
                     23,                0.99802,                    0.6,                      1,                 1.4889,             8.8036e-05,             8.8036e-05,             8.8036e-05
                     24,                 1.0351,                    0.6,                      1,                 1.4829,             8.0875e-05,             8.0875e-05,             8.0875e-05
                     25,                  1.032,                    0.6,                      1,                 1.4757,             7.2771e-05,             7.2771e-05,             7.2771e-05
                     26,                 0.9753,                    0.6,                      1,                 1.4722,             6.3724e-05,             6.3724e-05,             6.3724e-05
                     27,                0.99814,                    0.6,                      1,                 1.4667,             5.3736e-05,             5.3736e-05,             5.3736e-05
                     28,                0.96808,                    0.6,                      1,                 1.4667,             4.2804e-05,             4.2804e-05,             4.2804e-05
                     29,                0.94853,                    0.6,                      1,                  1.465,              3.093e-05,              3.093e-05,              3.093e-05
                     30,                0.95435,                    0.6,                      1,                 1.4646,             1.8114e-05,             1.8114e-05,             1.8114e-05
