                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4013,                      0,                      1,                 1.3916,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.3914,                0.08333,                      1,                 1.3881,             3.4286e-05,             3.4286e-05,             3.4286e-05
                      3,                 1.3572,                   0.25,                      1,                 1.3822,             5.2596e-05,             5.2596e-05,             5.2596e-05
                      4,                 1.3377,                   0.25,                      1,                 1.3762,             6.9209e-05,             6.9209e-05,             6.9209e-05
                      5,                 1.3038,                0.33333,                      1,                 1.3675,             8.4126e-05,             8.4126e-05,             8.4126e-05
                      6,                 1.2882,                    0.5,                      1,                 1.3604,             9.7347e-05,             9.7347e-05,             9.7347e-05
                      7,                 1.2678,                0.58333,                      1,                 1.3514,             0.00010887,             0.00010887,             0.00010887
                      8,                 1.2258,                0.58333,                      1,                 1.3466,              0.0001187,              0.0001187,              0.0001187
                      9,                 1.2248,                0.58333,                      1,                 1.3383,             0.00012683,             0.00012683,             0.00012683
                     10,                 1.1343,                0.58333,                      1,                 1.3345,             0.00013326,             0.00013326,             0.00013326
                     11,                 1.2149,                0.58333,                      1,                  1.327,               0.000138,               0.000138,               0.000138
                     12,                 1.1156,                0.58333,                      1,                 1.3228,             0.00014104,             0.00014104,             0.00014104
                     13,                 1.0729,                    0.5,                      1,                 1.3146,             0.00014239,             0.00014239,             0.00014239
                     14,                 1.0953,                    0.5,                      1,                 1.3106,             0.00014204,             0.00014204,             0.00014204
                     15,                  1.071,                    0.5,                      1,                 1.3018,             0.00013999,             0.00013999,             0.00013999
                     16,                 1.0352,                    0.5,                      1,                 1.2979,             0.00013625,             0.00013625,             0.00013625
                     17,                0.96752,                    0.5,                      1,                  1.288,              0.0001308,              0.0001308,              0.0001308
                     18,                0.97599,                    0.5,                      1,                 1.2813,             0.00012367,             0.00012367,             0.00012367
                     19,                0.95379,                    0.5,                      1,                 1.2768,             0.00011483,             0.00011483,             0.00011483
                     20,                0.93264,                    0.5,                      1,                 1.2706,              0.0001043,              0.0001043,              0.0001043
                     21,                0.89207,                    0.5,                      1,                 1.2672,             9.2077e-05,             9.2077e-05,             9.2077e-05
                     22,                0.92842,                0.58333,                      1,                 1.2615,             7.8154e-05,             7.8154e-05,             7.8154e-05
                     23,                 0.8485,                0.58333,                      1,                 1.2594,             6.2535e-05,             6.2535e-05,             6.2535e-05
                     24,                0.90884,                0.58333,                      1,                 1.2559,             4.5219e-05,             4.5219e-05,             4.5219e-05
                     25,                0.82309,                0.66667,                      1,                 1.2531,             2.6207e-05,             2.6207e-05,             2.6207e-05
