                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3992,                      0,                      1,                 1.3912,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.3725,                0.16667,                      1,                 1.3882,             3.2166e-05,             3.2166e-05,             3.2166e-05
                      3,                 1.3844,                   0.25,                      1,                 1.3828,              4.581e-05,              4.581e-05,              4.581e-05
                      4,                 1.3819,                   0.25,                      1,                 1.3772,             5.5214e-05,             5.5214e-05,             5.5214e-05
                      5,                 1.3061,                0.33333,                      1,                 1.3703,             6.0376e-05,             6.0376e-05,             6.0376e-05
                      6,                 1.3021,                0.41667,                      1,                 1.3657,             6.1297e-05,             6.1297e-05,             6.1297e-05
                      7,                 1.2961,                    0.5,                      1,                 1.3603,             5.7977e-05,             5.7977e-05,             5.7977e-05
                      8,                 1.2583,                0.58333,                      1,                 1.3568,             5.0416e-05,             5.0416e-05,             5.0416e-05
                      9,                 1.2525,                0.58333,                      1,                 1.3532,             3.8613e-05,             3.8613e-05,             3.8613e-05
                     10,                 1.2439,                0.58333,                      1,                 1.3524,              2.257e-05,              2.257e-05,              2.257e-05
