                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6781,                    0.2,                      1,                 1.6105,              2.142e-05,              2.142e-05,              2.142e-05
                      2,                 1.5972,                    0.2,                      1,                 1.6096,             4.5032e-05,             4.5032e-05,             4.5032e-05
                      3,                  1.623,                0.13333,                      1,                 1.6059,             6.2989e-05,             6.2989e-05,             6.2989e-05
                      4,                 1.5664,                0.26667,                      1,                 1.6013,             7.5291e-05,             7.5291e-05,             7.5291e-05
                      5,                 1.5743,                    0.4,                      1,                 1.5998,             8.1939e-05,             8.1939e-05,             8.1939e-05
                      6,                 1.5321,                0.46667,                      1,                 1.5977,             8.2931e-05,             8.2931e-05,             8.2931e-05
                      7,                 1.5365,                    0.4,                      1,                 1.5974,             7.8269e-05,             7.8269e-05,             7.8269e-05
                      8,                 1.5031,                    0.4,                      1,                 1.5968,             6.7951e-05,             6.7951e-05,             6.7951e-05
                      9,                 1.5369,                0.33333,                      1,                 1.5947,             5.1979e-05,             5.1979e-05,             5.1979e-05
                     10,                 1.4938,                    0.4,                      1,                 1.5932,             3.0352e-05,             3.0352e-05,             3.0352e-05
