                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6485,                    0.2,                      1,                 1.6112,              2.142e-05,              2.142e-05,              2.142e-05
                      2,                 1.6391,                    0.2,                      1,                 1.6098,             4.5032e-05,             4.5032e-05,             4.5032e-05
                      3,                 1.5782,                0.13333,                      1,                 1.6061,             6.2989e-05,             6.2989e-05,             6.2989e-05
                      4,                   1.56,                    0.4,                      1,                 1.6013,             7.5291e-05,             7.5291e-05,             7.5291e-05
                      5,                 1.5282,                0.46667,                      1,                 1.5994,             8.1939e-05,             8.1939e-05,             8.1939e-05
                      6,                 1.5029,                0.33333,                      1,                  1.598,             8.2931e-05,             8.2931e-05,             8.2931e-05
                      7,                 1.5645,                0.33333,                      1,                 1.5961,             7.8269e-05,             7.8269e-05,             7.8269e-05
                      8,                 1.5354,                0.33333,                      1,                 1.5945,             6.7951e-05,             6.7951e-05,             6.7951e-05
                      9,                 1.5503,                    0.4,                      1,                 1.5935,             5.1979e-05,             5.1979e-05,             5.1979e-05
                     10,                 1.5015,                0.46667,                      1,                 1.5933,             3.0352e-05,             3.0352e-05,             3.0352e-05
