                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6834,                0.13333,                      1,                 1.6115,              2.142e-05,              2.142e-05,              2.142e-05
                      2,                 1.6484,                0.13333,                      1,                 1.6098,             4.8001e-05,             4.8001e-05,             4.8001e-05
                      3,                 1.6221,                0.13333,                      1,                 1.6064,              7.232e-05,              7.232e-05,              7.232e-05
                      4,                 1.5649,                0.26667,                      1,                 1.6004,             9.4377e-05,             9.4377e-05,             9.4377e-05
                      5,                 1.5176,                0.33333,                      1,                 1.5968,             0.00011417,             0.00011417,             0.00011417
                      6,                   1.54,                0.26667,                      1,                 1.5929,              0.0001317,              0.0001317,              0.0001317
                      7,                 1.4703,                0.46667,                      1,                 1.5877,             0.00014698,             0.00014698,             0.00014698
                      8,                 1.4124,                0.46667,                      1,                 1.5835,             0.00015998,             0.00015998,             0.00015998
                      9,                 1.4593,                0.46667,                      1,                 1.5769,             0.00017073,             0.00017073,             0.00017073
                     10,                 1.4749,                0.46667,                      1,                 1.5706,             0.00017922,             0.00017922,             0.00017922
                     11,                 1.3571,                0.46667,                      1,                 1.5622,             0.00018544,             0.00018544,             0.00018544
                     12,                 1.3839,                0.46667,                      1,                 1.5536,              0.0001894,              0.0001894,              0.0001894
                     13,                 1.3003,                    0.4,                      1,                 1.5462,              0.0001911,              0.0001911,              0.0001911
                     14,                 1.2321,                    0.4,                      1,                 1.5428,             0.00019054,             0.00019054,             0.00019054
                     15,                 1.1605,                    0.4,                      1,                 1.5341,             0.00018771,             0.00018771,             0.00018771
                     16,                  1.233,                    0.4,                      1,                 1.5305,             0.00018263,             0.00018263,             0.00018263
                     17,                 1.1061,                    0.4,                      1,                 1.5289,             0.00017528,             0.00017528,             0.00017528
                     18,                 1.1648,                    0.4,                      1,                 1.5265,             0.00016567,             0.00016567,             0.00016567
                     19,                 1.1607,                    0.4,                      1,                 1.5284,              0.0001538,              0.0001538,              0.0001538
                     20,                 1.1101,                    0.4,                      1,                  1.525,             0.00013966,             0.00013966,             0.00013966
                     21,                 1.1846,                    0.4,                      1,                 1.5297,             0.00012326,             0.00012326,             0.00012326
                     22,                 1.1028,                    0.4,                      1,                 1.5301,             0.00010461,             0.00010461,             0.00010461
                     23,                 1.0266,                    0.4,                      1,                 1.5185,             8.3687e-05,             8.3687e-05,             8.3687e-05
                     24,                 1.0539,                    0.4,                      1,                 1.5148,             6.0504e-05,             6.0504e-05,             6.0504e-05
                     25,                 1.0813,                    0.4,                      1,                 1.5108,              3.506e-05,              3.506e-05,              3.506e-05
