                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4722,                0.16667,                      1,                 1.3916,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.4127,                0.16667,                      1,                 1.3892,             3.4816e-05,             3.4816e-05,             3.4816e-05
                      3,                  1.384,                0.16667,                      1,                 1.3863,             5.4293e-05,             5.4293e-05,             5.4293e-05
                      4,                 1.3538,                0.33333,                      1,                 1.3818,             7.2708e-05,             7.2708e-05,             7.2708e-05
                      5,                 1.3432,                0.33333,                      1,                 1.3768,             9.0064e-05,             9.0064e-05,             9.0064e-05
                      6,                 1.2732,                0.33333,                      1,                 1.3726,             0.00010636,             0.00010636,             0.00010636
                      7,                 1.2684,                0.41667,                      1,                 1.3686,             0.00012159,             0.00012159,             0.00012159
                      8,                 1.2347,                0.41667,                      1,                 1.3657,             0.00013577,             0.00013577,             0.00013577
                      9,                 1.2234,                0.33333,                      1,                 1.3608,             0.00014888,             0.00014888,             0.00014888
                     10,                 1.1606,                0.33333,                      1,                 1.3581,             0.00016094,             0.00016094,             0.00016094
                     11,                 1.1915,                0.41667,                      1,                 1.3536,             0.00017193,             0.00017193,             0.00017193
                     12,                 1.0867,                0.33333,                      1,                 1.3505,             0.00018186,             0.00018186,             0.00018186
                     13,                 1.0752,                0.41667,                      1,                 1.3421,             0.00019074,             0.00019074,             0.00019074
                     14,                 1.0402,                0.41667,                      1,                 1.3375,             0.00019855,             0.00019855,             0.00019855
                     15,                 1.0007,                0.41667,                      1,                 1.3268,              0.0002053,              0.0002053,              0.0002053
                     16,                0.89566,                0.41667,                      1,                 1.3215,               0.000211,               0.000211,               0.000211
                     17,                0.88944,                0.41667,                      1,                 1.3113,             0.00021563,             0.00021563,             0.00021563
                     18,                0.92272,                0.41667,                      1,                 1.3053,              0.0002192,              0.0002192,              0.0002192
                     19,                0.88121,                0.41667,                      1,                 1.2973,             0.00022171,             0.00022171,             0.00022171
                     20,                0.75873,                0.41667,                      1,                 1.2911,             0.00022316,             0.00022316,             0.00022316
                     21,                0.72735,                    0.5,                      1,                 1.2808,             0.00022355,             0.00022355,             0.00022355
                     22,                0.79595,                    0.5,                      1,                 1.2739,             0.00022288,             0.00022288,             0.00022288
                     23,                 0.7372,                    0.5,                      1,                 1.2653,             0.00022115,             0.00022115,             0.00022115
                     24,                0.64496,                    0.5,                      1,                 1.2561,             0.00021836,             0.00021836,             0.00021836
                     25,                0.60392,                    0.5,                      1,                 1.2448,             0.00021451,             0.00021451,             0.00021451
                     26,                0.63255,                    0.5,                      1,                 1.2349,              0.0002096,              0.0002096,              0.0002096
                     27,                 0.4975,                    0.5,                      1,                 1.2256,             0.00020363,             0.00020363,             0.00020363
                     28,                0.54625,                    0.5,                      1,                 1.2148,              0.0001966,              0.0001966,              0.0001966
                     29,                0.44168,                    0.5,                      1,                 1.2148,             0.00018851,             0.00018851,             0.00018851
                     30,                0.52776,                    0.5,                      1,                 1.2108,             0.00017936,             0.00017936,             0.00017936
                     31,                0.51218,                    0.5,                      1,                 1.2043,             0.00016915,             0.00016915,             0.00016915
                     32,                0.42016,                    0.5,                      1,                 1.1977,             0.00015787,             0.00015787,             0.00015787
                     33,                0.42077,                    0.5,                      1,                 1.1977,             0.00014554,             0.00014554,             0.00014554
                     34,                0.40435,                    0.5,                      1,                 1.1927,             0.00013084,             0.00013084,             0.00013084
                     35,                0.37947,                    0.5,                      1,                  1.188,             0.00011317,             0.00011317,             0.00011317
                     36,                0.33907,                    0.5,                      1,                 1.1884,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     37,                0.43523,                    0.5,                      1,                 1.1884,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     38,                0.34083,                    0.5,                      1,                 1.1933,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     39,                0.34685,                    0.5,                      1,                 1.1874,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     40,                0.36261,                    0.5,                      1,                 1.1867,             2.4812e-05,             2.4812e-05,             2.4812e-05
