                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4232,                   0.25,                      1,                 1.3812,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.3696,                0.41667,                      1,                 1.3779,             3.2166e-05,             3.2166e-05,             3.2166e-05
                      3,                 1.3813,                    0.5,                      1,                 1.3756,              4.581e-05,              4.581e-05,              4.581e-05
                      4,                 1.3472,                    0.5,                      1,                 1.3717,             5.5214e-05,             5.5214e-05,             5.5214e-05
                      5,                 1.3355,                0.58333,                      1,                 1.3689,             6.0376e-05,             6.0376e-05,             6.0376e-05
                      6,                 1.3142,                    0.5,                      1,                 1.3661,             6.1297e-05,             6.1297e-05,             6.1297e-05
                      7,                 1.3139,                0.66667,                      1,                 1.3626,             5.7977e-05,             5.7977e-05,             5.7977e-05
                      8,                 1.3118,                0.58333,                      1,                 1.3597,             5.0416e-05,             5.0416e-05,             5.0416e-05
                      9,                 1.3135,                0.58333,                      1,                 1.3564,             3.8613e-05,             3.8613e-05,             3.8613e-05
                     10,                 1.2745,                0.58333,                      1,                 1.3554,              2.257e-05,              2.257e-05,              2.257e-05
